English,POS,Thai
diet,"Noun, Verb (usu participle)",อาหาร
difference,"Noun, Verb (transitive)",ความแตกต่าง
different,Adjective,แตกต่าง
differently,Adverb,แตกต่างกัน
difficult,Adjective,ยาก
difficulty,Noun,ความยากลำบาก
dig,"Verb (usu participle), Verb (transitive)",ขุด
digital,"Adjective, Noun",ดิจิตอล
dinner,Noun,อาหารเย็น
direct,"Verb (usu participle), Adjective",โดยตรง
direction,Noun,ทิศทาง
directly,"Adverb, Conjunction",โดยตรง
director,Noun,ผู้อำนวยการ
dirt,"Noun, Adjective",สิ่งสกปรก
dirty,"Adjective, Verb (usu participle)",สกปรก
disabled,"Verb (transitive), Noun",พิการ
disadvantage,"Noun, Verb (transitive)",ข้อเสียเปรียบ
disagree,Verb (usu participle),ไม่เห็นด้วย
disagreement,Noun,ไม่เห็นด้วย
disagree with doing,Verb (usu participle),ไม่เห็นด้วยกับการทำ
disappear,"Verb (intransitive), Verb (usu participle)",หายไป
disappoint,"Verb (transitive), Verb (usu participle)",ผิดหวัง
disappointed,Adjective,ที่ผิดหวัง
disappointing,Adjective,น่าผิดหวัง
disappointment,Noun,ความผิดหวัง
disapproval,Noun,ไม่อนุมัติ
disapprove,"Verb (intransitive), Verb (transitive)",ไม่อนุมัติ
disapproving,"Verb (usu participle), Adjective",ไม่เห็นด้วย
disaster,Noun,ภัยพิบัติ
disc,"Noun, Verb (usu participle)",แผ่นดิสก์
discipline,"Noun, Verb (transitive)",การลงโทษ
discount,"Verb (usu participle), Noun",การลดราคา
discover,"Verb (transitive), Verb (usu participle)",ค้นพบ
discovery,Noun,การค้นพบ
discuss,"Verb (transitive), Verb (usu participle)",หารือ
discussion,Noun,การอภิปราย
disease,Noun,โรค
disgust,"Verb (transitive), Noun",รังเกียจ
disgusted,Adjective,เบื่อหน่าย
disgusting,Adjective,น่าขยะแขยง
dish,"Noun, Verb (transitive)",จาน
dishonest,Adjective,ไม่ซื่อสัตย์
dishonestly,Adverb,ไม่สุจริต
disk,"Noun, Verb (usu participle)",ดิสก์
dislike,"Verb (transitive), Noun",ไม่ชอบ
dismiss,"Verb (transitive), Verb (usu participle)",อนุญาตให้ออกไป
display,"Verb (transitive), Noun",แสดง
dissolve,"Verb (usu participle), Verb (transitive)",ละลาย
distance,"Noun, Verb (transitive)",ระยะทาง
distinguish,Verb (usu participle),แยกแยะ
distribute,"Verb (transitive), Verb (usu participle)",แจกจ่าย
distribution,Noun,การกระจาย
district,"Noun, Verb (transitive)",เขต
disturb,"Verb (transitive), Verb (usu participle)",รบกวน
disturbing,Adjective,รบกวน
divide,"Verb (usu participle), Verb (transitive)",แบ่ง
division,Noun,แผนก
divorce,"Noun, Verb (usu participle)",หย่า
divorced,"Verb (usu participle), Adjective",หย่าร้าง
do 1,"Verb (usu participle), Verb (transitive)",ทำ 1
doctor,"Noun, Verb (transitive)",หมอ
document,"Noun, Verb (usu participle)",เอกสาร
dog,"Noun, Verb (usu participle)",สุนัข
dollar,Noun,ดอลลาร์
domestic,"Adjective, Noun",ภายในประเทศ
dominate,"Verb (usu participle), Verb (transitive)",ครอง
door,Noun,ประตู
dot,"Noun, Verb (usu participle)",จุด
double,"Adjective, Noun",สองเท่า
doubt,"Noun, Verb (transitive)",สงสัย
do up,"Verb (usu participle), Verb (transitive)",ทำขึ้น
do with,"Verb (usu participle), Verb (transitive)",ทำกับ
do without,"Verb (usu participle), Verb (transitive)",ทำโดยไม่ต้อง
down,"Preposition, Adverb",ลง
downstairs,"Adverb, Noun",ชั้นล่าง
downward,"Adjective, Adverb",ลง
downwards,Adverb,ลง
dozen,"Definite Article, Noun",โหล
draft,"Noun, Verb (transitive)",ร่าง
drag,"Noun, Verb (usu participle)",ลาก
drama,Noun,ละคร
dramatic,Adjective,น่าทึ่ง
dramatically,Adverb,อย่างมาก
draw,"Verb (usu participle), Verb (intransitive)",วาด
drawer,Noun,ลิ้นชัก
drawing,Noun,การวาดภาพ
dream,"Noun, Verb (usu participle)",ฝัน
dress,"Verb (usu participle), Verb (transitive)",ชุด
dressed,"|, Adjective",แต่งตัว
dress up,"Verb (usu participle), Verb (transitive)",แต่งตัว
drink,"Verb (usu participle), Verb (transitive)",ดื่ม
drive,"Verb (usu participle), Noun",ขับ
drive away,"Verb (usu participle), Noun",ขับรถออกไป
drive off,"Verb (usu participle), Noun",ขับรถออกไป
driver,Noun,คนขับ
driving,"Adjective, Noun",ขับรถ
drop,"Noun, Verb (usu participle)",หยด
drop out,"Noun, Verb (usu participle)",เลื่อนออก
drug,"Noun, Verb (usu participle)",ยา
drugstore,Noun,ร้านขายยา
drum,"Noun, Verb (usu participle)",กลอง
drunk,"Adjective, Noun",เมา
dry,"Adjective, Verb (usu participle)",แห้ง
dry off,"Adjective, Verb (usu participle)",แห้ง
dry up,"Adjective, Verb (usu participle)",แห้ง
due,"Noun, Adverb",เนื่องจาก
dull,"Adjective, Verb (usu participle)",น่าเบื่อ
dump,"Verb (usu participle), Verb (transitive)",ถ่ายโอนข้อมูล
during,Preposition,ในระหว่าง
dust,"Noun, Verb (transitive)",ฝุ่น
duty,Noun,หน้าที่
DVD,Noun,ดีวีดี
dying,"Verb (usu participle), Adjective",กำลังจะตาย
each,"Definite Article, Adverb",แต่ละ
each other,"Definite Article, Adverb",กันและกัน
ear,"Noun, Verb (intransitive)",หู
early,"Adjective, Adverb",แต่แรก
earn,"Verb (usu participle), Verb (transitive)",ได้รับ
earth,"Noun, Verb (intransitive)",โลก
ease,"Noun, Verb (usu participle)",ผ่อนปรน
easily,Adverb,อย่างง่ายดาย
east,"Noun, Adjective",ทิศตะวันออก
eastern,Adjective,ตะวันออก
easy,"Adjective, Adverb",ง่าย
eat,"Verb (usu participle), Verb (transitive)",กิน
eat out,"Verb (usu participle), Verb (transitive)",กินข้างนอก
eat up,"Verb (usu participle), Verb (transitive)",กินหมด
economic,Adjective,ทางเศรษฐกิจ
economy,Noun,เศรษฐกิจ
edge,"Noun, Verb (transitive)",ขอบ
edition,Noun,ฉบับ
editor,Noun,บรรณาธิการ
educate,Verb (usu participle),ให้ความรู้
educated,Adjective,มีการศึกษา
education,Noun,การศึกษา
effect,"Noun, Verb (transitive)",ผล
effective,Adjective,มีประสิทธิภาพ
effectively,Adverb,อย่างมีประสิทธิภาพ
efficient,Adjective,มีประสิทธิภาพ
efficiently,Adverb,อย่างมีประสิทธิภาพ
effort,Noun,ความพยายาม
e.g.,Noun,เช่น
egg,"Noun, Verb (transitive)",ไข่
eight,"Noun, Definite Article",แปด
eighteen,"Noun, Definite Article",สิบแปด
eighteenth,"Adjective, Noun",ที่สิบแปด
eighth,"Adjective, Noun",ที่แปด
eightieth,"Adjective, Noun",ที่แปดสิบ
eighty,"Noun, Definite Article",แปดสิบ
either,"Definite Article, Conjunction",ทั้ง
elbow,"Noun, Verb (usu participle)",ข้อศอก
elderly,Adjective,ผู้สูงอายุ
elect,"Verb (transitive), Adjective",เลือก
election,Noun,การเลือกตั้ง
electric,"Adjective, Noun",ไฟฟ้า
electrical,Adjective,ไฟฟ้า
electricity,Noun,ไฟฟ้า
electronic,Adjective,อิเล็กทรอนิกส์
elegant,Adjective,สง่างาม
element,Noun,องค์ประกอบ
elevator,Noun,ลิฟต์
eleven,"Noun, Definite Article",สิบเอ็ด
eleventh,"Adjective, Noun",ที่สิบเอ็ด
else,"Definite Article, Adverb",อื่น
elsewhere,Adverb,ที่อื่น
email,Noun,อีเมล
embarrass,Verb (usu participle),อับอาย
embarrassed,Adjective,เขินอาย
embarrassing,Adjective,น่าอาย
embarrassment,Noun,ความลำบากใจ
emerge,"Verb (intransitive), Verb (usu participle)",โผล่ออกมา
emergency,"Noun, Adjective",ภาวะฉุกเฉิน
emotion,Noun,อารมณ์
emotional,Adjective,ทางอารมณ์
emotionally,Adverb,อารมณ์
emphasis,Noun,เน้น
emphasize,"Verb (transitive), Verb (usu participle)",เน้นย้ำ
empire,Noun,จักรวรรดิ
employ,"Verb (transitive), Noun",จ้าง
employee,Noun,พนักงาน
employer,Noun,นายจ้าง
employment,Noun,การจ้างงาน
empty,"Adjective, Verb (usu participle)",ว่างเปล่า
enable,"Verb (transitive), Verb (usu participle)",เปิดใช้งาน
encounter,"Verb (usu participle), Verb (transitive)",เผชิญ
encourage,"Verb (transitive), Verb (usu participle)",ให้กำลังใจ
encouragement,Noun,กำลังใจ
end,"Noun, Verb (transitive)",จบ
end in,"Noun, Verb (transitive)",สิ้นสุดใน
ending,Noun,สิ้นสุด
end up,"Noun, Verb (transitive)",จบลง
enemy,"Noun, Adjective",ศัตรู
energy,Noun,พลังงาน
engage,"Verb (usu participle), Verb (intransitive)",หมั้น
engaged,Adjective,มีส่วนร่วม
engine,Noun,เครื่องยนต์
engineer,"Noun, Verb (transitive)",วิศวกร
engineering,Noun,วิศวกรรม
enjoy,"Verb (transitive), Verb (usu participle)",สนุก
enjoyable,Adjective,สนุกสนาน
enjoyment,Noun,ความเพลิดเพลิน
enormous,Adjective,มหาศาล
enough,"Definite Article, Adverb",เพียงพอ
enquiry,Noun,สอบถามรายละเอียดเพิ่มเติม
ensure,"Verb (transitive), Noun",ทำให้มั่นใจ
enter,"Verb (usu participle), Verb (transitive)",เข้า
entertain,"Verb (usu participle), Verb (transitive)",ความบันเทิง
entertainer,Noun,ผู้ให้ความบันเทิง
entertaining,Adjective,สนุกสนาน
entertainment,Noun,ความบันเทิง
enthusiasm,Noun,ความกระตือรือร้น
enthusiastic,Adjective,กระตือรือร้น
enthusiastically,Adverb,อย่างกระตือรือร้น
entire,"Adjective, Noun",ทั้งหมด
entirely,Adverb,โดยสิ้นเชิง
entitle,"Verb (transitive), Verb (usu participle)",สิทธิ
entrance 1,"Noun, Verb (transitive)",ทางเข้า 1
entry,Noun,รายการ
envelope,Noun,ซองจดหมาย
environment,Noun,สิ่งแวดล้อม
environmental,Adjective,ด้านสิ่งแวดล้อม
equal,"Adjective, Noun",เท่ากัน
equally,Adverb,เท่าๆ กัน
equipment,Noun,อุปกรณ์
equivalent,"Adjective, Noun",เทียบเท่า
error,Noun,ข้อผิดพลาด
escape,"Verb (usu participle), Verb (intransitive)",หนี
especially,Adverb,โดยเฉพาะ
essay,"Noun, Verb (transitive)",เรียงความ
essential,"Adjective, Noun",จำเป็น
essentially,Adverb,โดยพื้นฐานแล้ว
establish,"Verb (transitive), Verb (usu participle)",สร้าง
estate,Noun,อสังหาริมทรัพย์
estimate,"Verb (usu participle), Verb (transitive)",ประมาณการ
etc.,Noun,ฯลฯ
euro,Noun,ยูโร
even,"Adjective, Adverb",สม่ำเสมอ
evening,Noun,ตอนเย็น
event,Noun,เหตุการณ์
eventually,Adverb,ในท้ายที่สุด
ever,Adverb,เคย
every,"Definite Article, Adjective",ทั้งหมด
everybody,Pronoun,ทุกคน
everyone,Pronoun,ทุกคน
everything,Pronoun,ทุกอย่าง
everywhere,Adverb,ทุกที่
evidence,"Noun, Verb (transitive)",หลักฐาน
evil,"Adjective, Noun",ความชั่วร้าย
ex-,"Preposition, Noun",อดีต-
exact,"Adjective, Verb (transitive)",ที่แน่นอน
exactly,"Adverb, Interjection",อย่างแน่นอน
exaggerate,"Verb (usu participle), Verb (transitive)",พูดเกินจริง
exaggerated,Adjective,พูดเกินจริง
exam,Noun,การสอบ
examination,Noun,การตรวจสอบ
examine,"Verb (transitive), Verb (usu participle)",พิจารณา
example,"Noun, Verb (transitive)",ตัวอย่าง
excellent,Adjective,ยอดเยี่ยม
except,"Preposition, Conjunction",ยกเว้น
exception,Noun,ข้อยกเว้น
exchange,"Verb (transitive), Noun",แลกเปลี่ยน
excite,"Verb (transitive), Verb (usu participle)",ตื่นเต้น
excited,Adjective,ตื่นเต้น
excitement,Noun,ความตื่นเต้น
exciting,Adjective,น่าตื่นเต้น
exclude,"Verb (transitive), Verb (usu participle)",ยกเว้น
excluding,Verb (transitive),ยกเว้น
excuse,"Verb (usu participle), Verb (transitive)",ขอโทษ
executive,"Noun, Adjective",ผู้บริหาร
exercise,"Verb (usu participle), Verb (intransitive)",ออกกำลังกาย
exhibit,"Verb (usu participle), Noun",จัดแสดง
exhibition,Noun,นิทรรศการ
exist,"Verb (intransitive), Verb (usu participle)",มีอยู่
existence,Noun,การดำรงอยู่
exit,"Noun, Verb (intransitive)",ออก
expand,"Verb (usu participle), Verb (intransitive)",ขยาย
expect,"Verb (transitive), Verb (usu participle)",คาดหวัง
expectation,Noun,ความคาดหวัง
expected,Adjective,ที่คาดหวัง
expense,"Noun, Verb (transitive)",ค่าใช้จ่าย
expensive,Adjective,แพง
experience,"Noun, Verb (transitive)",ประสบการณ์
experienced,Adjective,มีประสบการณ์
experiment,"Noun, Verb (usu participle)",การทดลอง
expert,"Noun, Adjective",ผู้เชี่ยวชาญ
explain,"Verb (usu participle), Verb (transitive)",อธิบาย
explanation,Noun,คำอธิบาย
explode,"Verb (usu participle), Verb (intransitive)",ระเบิด
explore,"Verb (transitive), Verb (usu participle)",สำรวจ
explosion,Noun,การระเบิด
export,"Noun, Verb (usu participle)",ส่งออก
expose,"Verb (transitive), Noun",เปิดเผย
express,"Verb (transitive), Adjective",ด่วน
expression,Noun,การแสดงออก
extend,"Verb (usu participle), Verb (transitive)",ขยาย
extension,Noun,ส่วนขยาย
extensive,Adjective,กว้างขวาง
extent,Noun,ขอบเขต
extra,"Adjective, Noun",พิเศษ
extraordinary,Adjective,พิเศษ
extreme,"Adjective, Noun",สุดขีด
extremely,Adverb,อย่างที่สุด
eye,"Noun, Verb (usu participle)",ดวงตา
face,"Noun, Verb (usu participle)",ใบหน้า
face up to,"Noun, Verb (usu participle)",หันหน้าไปทาง
facility,Noun,สิ่งอำนวยความสะดวก
fact,Noun,ข้อเท็จจริง
factor,"Noun, Verb (intransitive)",ปัจจัย
factory,Noun,โรงงาน
fail,"Verb (usu participle), Verb (intransitive)",ล้มเหลว
failure,Noun,ความล้มเหลว
faint,"Adjective, Verb (intransitive)",เป็นลม
faintly,Adverb,แผ่วเบา
fair,"Adjective, Adverb",ยุติธรรม
fairly,Adverb,เป็นธรรม
faith,"Noun, Interjection",ศรัทธา
faithful,"Adjective, Noun",ซื่อสัตย์
faithfully,Adverb,อย่างซื่อสัตย์
fall,"Verb (usu participle), Verb (transitive)",ตก
FALSE,Error: Unable to retrieve part of speech.,เท็จ
fame,"Noun, Verb (transitive)",ชื่อเสียง
familiar,"Adjective, Noun",คุ้นเคย
family,Noun,ตระกูล
famous,Adjective,มีชื่อเสียง
fan,"Noun, Verb (usu participle)",พัดลม
fancy,"Adjective, Noun",ไม่ธรรมดา
far,"Adverb, Adjective",ไกล
farm,"Noun, Verb (transitive)",ฟาร์ม
farmer,Noun,ชาวนา
farming,"Noun, Adjective",เกษตรกรรม
farther,"Adverb, Adjective",ไกลออกไป
farthest,"Adverb, Adjective",ไกลที่สุด
fashion,"Noun, Verb (transitive)",แฟชั่น
fashionable,Adjective,ทันสมัย
fast,"Adjective, Adverb",เร็ว
fasten,"Verb (usu participle), Verb (transitive)",ยึด
fat,"Noun, Adjective",อ้วน
father,"Noun, Verb (transitive)",พ่อ
faucet,Noun,ก๊อกน้ำ
fault,"Noun, Verb (usu participle)",ความผิดพลาด
favour,"Noun, Verb (transitive)",โปรดปราน
favourite,"Adjective, Noun",ที่ชื่นชอบ
fear,"Noun, Verb (usu participle)",กลัว
feather,"Noun, Verb (transitive)",ขนนก
feature,"Noun, Verb (transitive)",คุณสมบัติ
February,Noun,กุมภาพันธ์
federal,"Adjective, Noun",รัฐบาลกลาง
fee,"Noun, Verb (usu participle)",ค่าธรรมเนียม
feed,"Verb (usu participle), Verb (intransitive)",ให้อาหาร
feel,"Verb (usu participle), Verb (transitive)",รู้สึก
feeling,"Noun, Adjective",ความรู้สึก
fellow,"Noun, Verb (transitive)",เพื่อน
female,"Adjective, Noun",หญิง
fence,"Noun, Verb (transitive)",รั้ว
festival,Noun,งานเทศกาล
fetch,"Verb (usu participle), Noun",ดึงข้อมูล
fever,"Noun, Verb (transitive)",ไข้
few,"Definite Article, Noun",น้อย
field,"Noun, Verb (transitive)",สนาม
fifteen,"Noun, Definite Article",สิบห้า
fifteenth,"Adjective, Noun",ที่สิบห้า
fifth,"Adjective, Noun",ที่ห้า
fiftieth,"Adjective, Noun",ที่ห้าสิบ
fifty,"Noun, Definite Article",ห้าสิบ
fight,"Verb (usu participle), Verb (transitive)",ต่อสู้
fighting,"Verb (usu participle), Noun",การต่อสู้
figure,"Noun, Verb (intransitive)",รูป
figure out,"Noun, Verb (intransitive)",คิดออก
file,"Noun, Verb (usu participle)",ไฟล์
fill,"Verb (usu participle), Noun",เติม
fill in,"Verb (usu participle), Noun",กรอก
fill out,"Verb (usu participle), Noun",กรอก
fill up,"Verb (usu participle), Noun",เติมให้เต็ม
film,"Noun, Verb (usu participle)",ฟิล์ม
final,"Adjective, Noun",สุดท้าย
finally,Adverb,ในที่สุด
finance,"Noun, Verb (transitive)",การเงิน
financial,Adjective,การเงิน
find,"Verb (usu participle), Noun",หา
find out,"Verb (usu participle), Noun",หา
fine,"Noun, Verb (transitive)",ดี
finely,Adverb,ประณีต
finger,"Noun, Verb (transitive)",นิ้ว
finish,"Verb (usu participle), Verb (intransitive)",เสร็จ
finished,Adjective,ที่เสร็จเรียบร้อย
finish off,"Verb (usu participle), Verb (intransitive)",จบ
fire,"Noun, Verb (usu participle)",ไฟ
firm,"Adjective, Adverb",บริษัท
firmly,Adverb,อย่างมั่นคง
first,"Adjective, Noun",อันดับแรก
fish,"Noun, Verb (intransitive)",ปลา
fishing,Noun,ตกปลา
fit,"Noun, Verb (usu participle)",พอดี
fit in,"Noun, Verb (usu participle)",พอดี
five,"Noun, Definite Article",ห้า
fix,"Verb (usu participle), Verb (intransitive)",แก้ไข
fixed,Adjective,ที่ตายตัว
flag,"Noun, Verb (usu participle)",ธง
flame,"Noun, Verb (usu participle)",เปลวไฟ
flash,"Noun, Verb (transitive)",แฟลช
flat,"Adjective, Adverb",แบน
flavour,"Noun, Verb (transitive)",รสชาติ
flesh,"Noun, Verb (transitive)",เนื้อ
flight,"Noun, Verb (transitive)",เที่ยวบิน
float,"Verb (usu participle), Verb (transitive)",ลอย
flood,"Noun, Verb (usu participle)",น้ำท่วม
flooded,Adjective,น้ำท่วม
flooding,Noun,น้ำท่วม
floor,"Noun, Verb (usu participle)",พื้น
flour,"Noun, Verb (transitive)",แป้ง
flow,"Verb (usu participle), Verb (transitive)",ไหล
flower,"Noun, Verb (intransitive)",ดอกไม้
flu,Noun,ไข้หวัดใหญ่
fly,"Verb (usu participle), Verb (intransitive)",บิน
flying,"Adjective, Noun",บิน
focus,"Noun, Verb (usu participle)",จุดสนใจ
fold,"Verb (usu participle), Verb (transitive)",พับ
folding,Adjective,พับ
follow,"Verb (usu participle), Verb (transitive)",ติดตาม
following,"Adjective, Noun",กำลังติดตาม
follow up,"Verb (usu participle), Verb (transitive)",ติดตามผล
food,Noun,อาหาร
foot,"Noun, Verb (usu participle)",เท้า
football,Noun,ฟุตบอล
for,"Preposition, Conjunction",สำหรับ
force,"Noun, Verb (transitive)",บังคับ
forecast,"Verb (usu participle), Verb (transitive)",พยากรณ์
foreign,Adjective,ต่างชาติ
forest,"Noun, Verb (transitive)",ป่า
forever,"Adverb, Noun",ตลอดไป
forget,"Verb (usu participle), Verb (transitive)",ลืม
forgive,"Verb (usu participle), Verb (transitive)",ให้อภัย
fork,"Noun, Verb (transitive)",ส้อม
form,"Noun, Verb (usu participle)",รูปร่าง
formal,"Adjective, Noun",เป็นทางการ
formally,Adverb,อย่างเป็นทางการ
former,"Adjective, Noun",อดีต
formerly,Adverb,เดิมที
formula,Noun,สูตร
fortieth,"Adjective, Noun",ที่สี่สิบ
fortune,"Noun, Verb (usu participle)",โชค
forty,"Noun, Definite Article",สี่สิบ
forward,"Adjective, Noun",ซึ่งไปข้างหน้า
found,"Verb (usu participle), Adjective",พบ
foundation,Noun,พื้นฐาน
four,"Noun, Definite Article",สี่
fourteen,"Noun, Definite Article",สิบสี่
fourteenth,"Adjective, Noun",ที่สิบสี่
fourth,"Adjective, Noun",ที่สี่
frame,"Noun, Verb (usu participle)",กรอบ
free,"Adjective, Adverb",ฟรี
freedom,Noun,เสรีภาพ
freely,Adverb,ได้อย่างอิสระ
freeze,"Verb (usu participle), Noun",แช่แข็ง
frequent,"Adjective, Verb (usu participle)",บ่อย
frequently,Adverb,บ่อย
fresh,"Adjective, Noun",สด
freshly,Adverb,สดใหม่
Friday,Noun,วันศุกร์
fridge,Noun,ตู้เย็น
friend,"Noun, Verb (transitive)",เพื่อน
friendly,"Adjective, Noun",เป็นกันเอง
friendship,Noun,มิตรภาพ
frighten,"Verb (transitive), Verb (usu participle)",ขู่
frighten away/off,"Verb (transitive), Verb (usu participle)",หวาดกลัวออกไป/ปิด
frightened,Adjective,ตระหนก
frightening,"Verb (usu participle), Adjective",น่ากลัว
from,Preposition,จาก
front,"Noun, Adjective",ด้านหน้า
frozen,"Verb (usu participle), Adjective",แช่แข็ง
fruit,"Noun, Verb (usu participle)",ผลไม้
fry,"Verb (usu participle), Verb (intransitive)",ทอด
fuel,"Noun, Verb (usu participle)",เชื้อเพลิง
full,"Adjective, Adverb",เต็ม
fully,Adverb,อย่างเต็มที่
fun,"Noun, Verb (usu participle)",สนุก
function,"Noun, Verb (intransitive)",การทำงาน
function as,"Noun, Verb (intransitive)",ทำหน้าที่เป็น
fund,"Noun, Verb (transitive)",กองทุน
fundamental,"Adjective, Noun",พื้นฐาน
funeral,Noun,งานศพ
funny,"Adjective, Noun",ตลก
fur,"Noun, Verb (usu participle)",ขน
furniture,Noun,เฟอร์นิเจอร์
further,"Adverb, Adjective",ไกลออกไป
future,"Noun, Adjective",อนาคต
gain,"Verb (transitive), Verb (intransitive)",ได้รับ
gallon,Noun,แกลลอน
gamble,"Verb (intransitive), Noun",เล่นการพนัน
gambling,"Verb (usu participle), Noun",การพนัน
game,"Noun, Adjective",เกม
gap,"Noun, Verb (usu participle)",ช่องว่าง
garage,"Noun, Verb (transitive)",โรงรถ
garbage,Noun,ขยะ
garden,"Noun, Verb (usu participle)",สวน
gas,"Noun, Verb (usu participle)",แก๊ส
gasoline,Noun,น้ำมันเบนซิน
gate,"Noun, Verb (transitive)",ประตู
gather,"Verb (usu participle), Noun",รวมตัว
gear,"Noun, Verb (transitive)",เกียร์
general,"Adjective, Noun",ทั่วไป
generally,Adverb,โดยทั่วไป
generate,Verb (usu participle),สร้าง
generation,Noun,รุ่น
generous,Adjective,ใจกว้าง
generously,Adverb,อย่างไม่เห็นแก่ตัว
gentle,"Adjective, Verb (transitive)",อ่อนโยน
gentleman,Noun,สุภาพบุรุษ
gently,Adverb,เบา ๆ
genuine,Adjective,แท้จริง
genuinely,Adverb,อย่างแท้จริง
geography,Noun,ภูมิศาสตร์
get,"Verb (usu participle), Verb (intransitive)",รับ
get away,"Verb (usu participle), Verb (intransitive)",หนีไป
get away with,"Verb (usu participle), Verb (intransitive)",หนีไปด้วย
get back,"Verb (usu participle), Verb (intransitive)",กลับมา
get by,"Verb (usu participle), Verb (intransitive)",ผ่านไป
get in,"Verb (usu participle), Verb (intransitive)",เข้ามา
get into,"Verb (usu participle), Verb (intransitive)",เข้าไป
get off,"Verb (usu participle), Verb (intransitive)",ลง
get on,"Verb (usu participle), Verb (intransitive)",ก้าวต่อไป
get on with,"Verb (usu participle), Verb (intransitive)",ดำเนินการต่อด้วย
get out of,"Verb (usu participle), Verb (intransitive)",ออกไปจาก
get over,"Verb (usu participle), Verb (intransitive)",ได้รับมากกว่า
get round,"Verb (usu participle), Verb (intransitive)",เข้ารอบ
get round to,"Verb (usu participle), Verb (intransitive)",ไปรอบ ๆ
get through,"Verb (usu participle), Verb (intransitive)",ผ่านไปได้
get up,"Verb (usu participle), Verb (intransitive)",ลุกขึ้น
giant,"Noun, Adjective",ยักษ์
gift,"Noun, Verb (transitive)",ของขวัญ
girl,Noun,สาว
girlfriend,Noun,แฟน
give,"Verb (usu participle), Verb (intransitive)",ให้
give away,"Verb (usu participle), Verb (intransitive)",ให้ออกไป
give back,"Verb (usu participle), Verb (intransitive)",ให้กลับ
give in,"Verb (usu participle), Verb (intransitive)",ให้เข้า
give off,"Verb (usu participle), Verb (intransitive)",ให้ออก
give out,"Verb (usu participle), Verb (intransitive)",ให้ออกไป
give up,"Verb (usu participle), Verb (intransitive)",ยอมแพ้
glad,"Adjective, Verb (transitive)",ยินดี
glass,"Noun, Verb (transitive)",กระจก
global,Adjective,ทั่วโลก
glove,"Noun, Verb (transitive)",ถุงมือ
glue,"Noun, Verb (usu participle)",กาว
go,"Noun, Verb (usu participle)",ไป
go ahead,"Noun, Verb (usu participle)",ไปข้างหน้า
goal,Noun,เป้าหมาย
go away,"Noun, Verb (usu participle)",ไปให้พ้น
go back,"Noun, Verb (usu participle)",กลับไป
go back to,"Noun, Verb (usu participle)",กลับไป
go by,"Noun, Verb (usu participle)",ผ่านไป
god,Noun,พระเจ้า
go down,"Noun, Verb (usu participle)",ลงไป
go into,"Noun, Verb (usu participle)",เข้าไป
gold,"Noun, Adjective",ทอง
good,"Adjective, Interjection",ดี
goodbye,Noun,ลาก่อน
goods,"Plural, Noun",สินค้า
go off,"Noun, Verb (usu participle)",ออกไป
go on,"Noun, Verb (usu participle)",ไปต่อ
go on doing,"Noun, Verb (usu participle)",ทำต่อไป
go out,"Noun, Verb (usu participle)",ออกไปข้างนอก
go out with,"Noun, Verb (usu participle)",ออกไปข้างนอกด้วย
go over,"Noun, Verb (usu participle)",ผ่านไป
go round,"Noun, Verb (usu participle)",ไปรอบ ๆ
go through,"Noun, Verb (usu participle)",ผ่านไป
go through with,"Noun, Verb (usu participle)",ผ่านไปด้วย
go to,"Noun, Verb (usu participle)",ไปที่
go up,"Noun, Verb (usu participle)",ขึ้นไป
govern,Verb (usu participle),ปกครอง
government,Noun,รัฐบาล
governor,Noun,ผู้ว่าราชการจังหวัด
go with,"Noun, Verb (usu participle)",ไปด้วย
go without,"Noun, Verb (usu participle)",ไปโดยไม่ต้อง
grab,"Verb (usu participle), Verb (transitive)",คว้า
grade,"Noun, Verb (transitive)",ระดับ
gradual,"Adjective, Noun",ค่อยเป็นค่อยไป
gradually,Adverb,ค่อยๆ
grain,"Noun, Verb (usu participle)",เมล็ดพืช
gram,Noun,กรัม
grammar,Noun,ไวยากรณ์
grand,"Adjective, Noun",ยิ่งใหญ่
grandchild,Noun,หลาน
granddaughter,Noun,หลานสาว
grandfather,Noun,คุณปู่
grandmother,Noun,ยาย
grandparent,Noun,ปู่ย่าตายาย
grandson,Noun,หลานชาย
grant,"Verb (transitive), Noun",ยินยอม
grass,"Noun, Verb (usu participle)",หญ้า
grateful,Adjective,ปลื้มปีติ
grave 1,"Noun, Adjective",หลุมศพ 1
gravely,Adverb,อย่างจริงจัง
great,"Adjective, Adverb",ยอดเยี่ยม
greatly,Adverb,อย่างมาก
green,"Noun, Adjective",สีเขียว
grey,"Adjective, Noun",สีเทา
grocery,Noun,ร้านขายของชำ
ground,"Noun, Verb (transitive)",พื้น
group,"Noun, Verb (usu participle)",กลุ่ม
grow,"Verb (usu participle), Verb (intransitive)",เติบโต
growth,Noun,การเจริญเติบโต
grow up,"Verb (usu participle), Verb (intransitive)",โตขึ้น
guarantee,"Noun, Verb (usu participle)",รับประกัน
guard,"Verb (usu participle), Verb (transitive)",อารักขา
guess,"Verb (usu participle), Noun",เดา
guest,"Noun, Verb (intransitive)",แขก
guide,"Verb (usu participle), Verb (transitive)",แนะนำ
guilty,Adjective,รู้สึกผิด
gun,"Noun, Verb (usu participle)",ปืน
guy,"Noun, Verb (transitive)",ผู้ชาย
habit,"Noun, Verb (transitive)",นิสัย
hair,Noun,ผม
